id,Type,Source,Amount,Fee,Destination Platform Fee,Destination Platform Fee Currency,Net,Currency,Created (UTC),Available On (UTC),Description,Customer Facing Amount,Customer Facing Currency,Transfer,Transfer Date (UTC),Transfer Group
txn_1SbxkJGxzrUh3F1NIraoByEp,stripe_fee,,-0.06,0.01,,,-0.07,nzd,2025-12-08 06:16,2025-12-08 06:16,Billing - Usage Fee (2025-12-07),,,,,
txn_3SbweuGxzrUh3F1N0q4gdOen,charge,ch_3SbweuGxzrUh3F1N0GoMOqAD,3.99,0.41,,,3.58,nzd,2025-12-08 05:06,2025-12-12 00:00,Subscription creation,3.99,nzd,,,
txn_3Sbe6OGxzrUh3F1N1G5PU6B2,payment,py_3Sbe6OGxzrUh3F1N1S1a2hxT,3.99,0.41,,,3.58,nzd,2025-12-07 09:18,2025-12-12 00:00,Subscription creation,3.99,nzd,,,
txn_1SbdnaGxzrUh3F1N4GRLbsZz,payment_refund,py_3SbdfpGxzrUh3F1N0F172gpc,-3.99,0.00,,,-3.99,nzd,2025-12-07 08:58,2025-12-12 00:00,REFUND FOR PAYMENT (Subscription creation),-3.99,nzd,,,
txn_3SbdfpGxzrUh3F1N0at0nPPo,payment,py_3SbdfpGxzrUh3F1N0F172gpc,3.99,0.41,,,3.58,nzd,2025-12-07 08:50,2025-12-12 00:00,Subscription creation,3.99,nzd,,,
txn_1SaWAEGxzrUh3F1Nl7cLcvaE,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-12-04 06:37,2025-12-04 06:37,Billing - Usage Fee (2025-12-03),,,,,
txn_3Sa9uZGxzrUh3F1N1ikIJ5YC,charge,ch_3Sa9uZGxzrUh3F1N1nThdlzZ,3.99,0.41,,,3.58,nzd,2025-12-03 06:51,2025-12-09 00:00,Subscription creation,3.99,nzd,,,
txn_1SZ5HzGxzrUh3F1NBSZ0VzRw,stripe_fee,,-0.06,0.01,,,-0.07,nzd,2025-11-30 07:43,2025-11-30 07:43,Billing - Usage Fee (2025-11-29),,,,,
txn_3SYw0aGxzrUh3F1N0E9Tl6uB,payment,py_3SYw0aGxzrUh3F1N0LNamDjm,3.99,0.41,,,3.58,nzd,2025-11-29 21:48,2025-12-05 00:00,Subscription creation,3.99,nzd,,,
txn_3SYvrPGxzrUh3F1N1YUa7xSu,payment,py_3SYvrPGxzrUh3F1N1wASCfbm,3.99,0.41,,,3.58,nzd,2025-11-29 21:39,2025-12-05 00:00,Subscription creation,3.99,nzd,,,
txn_1SYKfuGxzrUh3F1NE8VjMCxd,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-11-28 05:56,2025-11-28 05:56,Billing - Usage Fee (2025-11-27),,,,,
txn_3SX9MmGxzrUh3F1N0mwsw3IB,charge,ch_3SX9MmGxzrUh3F1N04OYTX3S,3.99,0.45,,,3.54,nzd,2025-11-27 05:40,2025-12-03 00:00,Subscription update,3.99,nzd,,,
txn_1SVneRGxzrUh3F1N7Hprh3ZM,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-11-21 06:16,2025-11-21 06:16,Billing - Usage Fee (2025-11-20),,,,,
txn_1SVR2oGxzrUh3F1NVPnGyfwA,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-11-20 06:08,2025-11-20 06:08,Billing - Usage Fee (2025-11-19),,,,,
txn_3SVOAgGxzrUh3F1N15eR4vte,charge,ch_3SVOAgGxzrUh3F1N1YMA7JLQ,3.99,0.45,,,3.54,nzd,2025-11-20 03:04,2025-11-26 00:00,Subscription creation,3.99,nzd,,,
txn_1SV4xcGxzrUh3F1NYuegxNrZ,stripe_fee,,-0.08,0.01,,,-0.09,nzd,2025-11-19 06:33,2025-11-19 06:33,Billing - Usage Fee (2025-11-18),,,,,
